#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-11-19T08:56:06 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5bf27a0144f2
#INFO	-out.max=1000
#INFO	queryParameters=20
#-oc.form=dec
#-out.max=1000
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/616/A10&tab:{J/A+A/616/A10/tablea1a}&key:source=J/A+A/616/A10/tablea1a&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/616/A10/tablea1a
#-order=I
#-out=Source
#-out=Cluster
#Cluster=Hyades
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Gmag
#-out=plx
#-out=e_plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36160010
#Name: J/A+A/616/A10
#Title: 46 open clusters GaiaDR2 HR diagrams (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_616_A10_tablea1a:
#Name: J/A+A/616/A10/tablea1a
#Title: Stars in nine open clusters within 250pc
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Source	(I22)	Source identifier in Gaia DR2 (source_id)	[ucd=meta.id]
#Column	Cluster	(A8)	Cluster identifier	[ucd=meta.id.parent]
#Column	RA_ICRS	(F9.5)	Right Ascension (ICRS), epoch 2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS), epoch 2015.5	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F6.3)	Gaia G mean magnitude	[ucd=phot.mag;em.opt.V]
#Column	plx	(F6.3)	? Optimized parallax (only in tablea1a.dat) (1)	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Uncertainty on optimized parallax (only in tablea1a.dat)	[ucd=stat.error;pos.parallax]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
deg	deg	 	 	deg	deg	mag	mas	mas	deg	deg
065.6654000	+18.2691800	     47485609397541632	Hyades  	065.66540	+18.26918	12.087	23.997	 0.023	065.66540	+18.26918
064.5081700	+18.2566700	     47620265212420096	Hyades  	064.50817	+18.25667	 7.355	21.583	 0.016	064.50817	+18.25667
065.3849500	+18.4174400	     47541100375011968	Hyades  	065.38495	+18.41744	 6.684	20.672	 0.042	065.38495	+18.41744
061.9305500	+16.5186800	     45567511362945152	Hyades  	061.93055	+16.51868	 9.599	21.479	 0.014	061.93055	+16.51868
063.0912500	+16.2508100	     45679386670867584	Hyades  	063.09125	+16.25081	12.684	28.002	 0.033	063.09125	+16.25081
061.5677300	+15.6980400	     45367056650753280	Hyades  	061.56773	+15.69804	 7.693	21.003	 0.021	061.56773	+15.69804
061.0454000	+15.8060100	     45404199528067200	Hyades  	061.04540	+15.80601	16.304	21.775	 0.087	061.04540	+15.80601
062.4887400	+16.3781400	     45506454107945344	Hyades  	062.48874	+16.37814	15.554	28.771	 0.111	062.48874	+16.37814
074.0258500	+21.8978100	   3412374060957023232	Hyades  	074.02585	+21.89781	16.193	17.078	 0.034	074.02585	+21.89781
073.9961300	+21.6666700	   3412331901556818048	Hyades  	073.99613	+21.66667	18.766	20.442	 0.134	073.99613	+21.66667
074.3625200	+22.0173500	   3412367287795107712	Hyades  	074.36252	+22.01735	16.414	18.251	 0.077	074.36252	+22.01735
078.8781900	+17.4315800	   3395180718459278464	Hyades  	078.87819	+17.43158	15.966	17.776	 0.035	078.87819	+17.43158
078.7141900	+17.7870300	   3395264423077925632	Hyades  	078.71419	+17.78703	13.500	17.571	 0.038	078.71419	+17.78703
067.8716000	+17.7185200	   3314150048683152896	Hyades  	067.87160	+17.71852	11.183	22.271	 0.031	067.87160	+17.71852
065.7342100	+17.5423900	   3314024566918614528	Hyades  	065.73421	+17.54239	 3.416	19.422	 0.082	065.73421	+17.54239
066.3547800	+17.9152100	   3314063908819076352	Hyades  	066.35478	+17.91521	10.608	21.341	 0.024	066.35478	+17.91521
068.0994800	+17.7505900	   3314232855652895104	Hyades  	068.09948	+17.75059	13.362	23.245	 0.013	068.09948	+17.75059
066.0710800	+18.0027900	   3314079508140198528	Hyades  	066.07108	+18.00279	 9.645	21.428	 0.026	066.07108	+18.00279
067.3769400	+17.8630300	   3314212068010812032	Hyades  	067.37694	+17.86303	 6.780	21.316	 0.032	067.37694	+17.86303
068.0336500	+17.6643500	   3314137846679343872	Hyades  	068.03365	+17.66435	14.009	20.932	 0.011	068.03365	+17.66435
067.3821800	+17.8930400	   3314213025787054592	Hyades  	067.38218	+17.89304	 8.731	21.844	 0.017	067.38218	+17.89304
067.2017300	+17.2853500	   3314109916508904064	Hyades  	067.20173	+17.28535	 7.686	21.476	 0.045	067.20173	+17.28535
070.4453200	+04.4367400	   3281410509417809152	Hyades  	070.44532	+04.43674	12.926	23.594	 0.019	070.44532	+04.43674
071.5787100	+03.6363900	   3281064262038614912	Hyades  	071.57871	+03.63639	10.391	22.138	 0.010	071.57871	+03.63639
072.8289100	+25.9422900	    153453550785049984	Hyades  	072.82891	+25.94229	15.614	20.803	 0.031	072.82891	+25.94229
072.0939200	+20.8618800	   3411856775094435968	Hyades  	072.09392	+20.86188	17.253	18.030	 0.060	072.09392	+20.86188
072.1243000	+20.4459100	   3411781729134007424	Hyades  	072.12430	+20.44591	16.066	16.255	 0.044	072.12430	+20.44591
073.8122000	+21.3638900	   3411758128287351808	Hyades  	073.81220	+21.36389	15.268	16.754	 0.005	073.81220	+21.36389
072.5698700	+20.6256300	   3411811317161811328	Hyades  	072.56987	+20.62563	13.155	22.080	 0.020	072.56987	+20.62563
070.1379000	+18.0282700	   3409356726172456960	Hyades  	070.13790	+18.02827	16.067	16.748	 0.045	070.13790	+18.02827
075.7742600	+21.5897800	   3409207536188836352	Hyades  	075.77426	+21.58978	 4.555	18.572	 0.067	075.77426	+21.58978
070.5788100	+17.6938400	   3409290995993067648	Hyades  	070.57881	+17.69384	13.782	19.374	 0.021	070.57881	+17.69384
071.1185400	+17.8529800	   3409379060002199168	Hyades  	071.11854	+17.85298	14.569	17.067	 0.007	071.11854	+17.85298
077.2149500	+14.2530500	   3391904178104504704	Hyades  	077.21495	+14.25305	16.893	25.633	 0.055	077.21495	+14.25305
054.7805600	+20.4239100	     57406365376348928	Hyades  	054.78056	+20.42391	13.629	28.062	 0.016	054.78056	+20.42391
067.0337300	+07.9457700	   3287167277423046272	Hyades  	067.03373	+07.94577	13.773	19.809	 0.021	067.03373	+07.94577
066.3211900	+08.0677500	   3287041726938931968	Hyades  	066.32119	+08.06775	13.440	28.855	 0.046	066.32119	+08.06775
075.8864700	+18.1477300	   3407113241415669120	Hyades  	075.88647	+18.14773	15.802	19.819	 0.085	075.88647	+18.14773
076.5752500	+17.8162800	   3407121831350730112	Hyades  	076.57525	+17.81628	 8.620	18.600	 0.004	076.57525	+17.81628
071.8512600	+22.6633300	   3413082661841179520	Hyades  	071.85126	+22.66333	16.339	19.314	 0.039	071.85126	+22.66333
071.9755800	+07.3707200	   3288997483247358592	Hyades  	071.97558	+07.37072	15.193	17.385	 0.019	071.97558	+07.37072
071.5387200	+06.7500700	   3288876846205650816	Hyades  	071.53872	+06.75007	13.589	22.491	 0.025	071.53872	+06.75007
071.8275800	+06.4532300	   3288784006192725248	Hyades  	071.82758	+06.45323	10.689	24.647	 0.022	071.82758	+06.45323
065.9617900	+09.2053900	   3299573475139651584	Hyades  	065.96179	+09.20539	11.814	22.276	 0.022	065.96179	+09.20539
071.1080500	+11.1460700	   3294081521934473216	Hyades  	071.10805	+11.14607	 5.311	22.304	 0.110	071.10805	+11.14607
070.2576500	+10.9944000	   3294248609046258048	Hyades  	070.25765	+10.99440	13.864	20.257	 0.015	070.25765	+10.99440
059.8615000	+23.3852600	     65502206932420224	Hyades  	059.86150	+23.38526	14.677	22.398	 0.014	059.86150	+23.38526
060.9132300	+19.4548700	     50327297200978176	Hyades  	060.91323	+19.45487	 9.775	20.811	 0.032	060.91323	+19.45487
061.3575200	+19.4420100	     50298125783225088	Hyades  	061.35752	+19.44201	10.834	21.144	 0.013	061.35752	+19.44201
061.0538600	+18.9956100	     50248991357476736	Hyades  	061.05386	+18.99561	15.070	18.721	 0.023	061.05386	+18.99561
060.0655000	+19.4100000	     50427387118457984	Hyades  	060.06550	+19.41000	14.704	20.853	 0.052	060.06550	+19.41000
060.9123800	+19.4558400	     50327361624037120	Hyades  	060.91238	+19.45584	14.796	20.755	 0.179	060.91238	+19.45584
068.9671600	+19.7957000	   3410787568757738752	Hyades  	068.96716	+19.79570	13.833	20.857	 0.143	068.96716	+19.79570
070.2585800	+19.9092200	   3410944730200538496	Hyades  	070.25858	+19.90922	16.210	24.439	 0.052	070.25858	+19.90922
068.8069500	+20.1334900	   3410856112139584000	Hyades  	068.80695	+20.13349	17.765	21.930	 0.092	068.80695	+20.13349
070.6166000	+00.7272500	   3230836376154368384	Hyades  	070.61660	+00.72725	17.299	21.167	 0.130	070.61660	+00.72725
070.5522600	+14.1475000	   3308433069254919424	Hyades  	070.55226	+14.14750	15.037	20.023	 0.032	070.55226	+14.14750
071.8160400	+13.5572700	   3308470968047333120	Hyades  	071.81604	+13.55727	16.178	20.338	 0.027	071.81604	+13.55727
071.8161600	+13.5566600	   3308470968047333248	Hyades  	071.81616	+13.55666	16.146	20.270	 0.063	071.81616	+13.55666
070.3663300	+14.0760200	   3308428877366857728	Hyades  	070.36633	+14.07602	12.337	21.239	 0.167	070.36633	+14.07602
072.2943900	+13.8113500	   3308501926171656832	Hyades  	072.29439	+13.81135	14.307	21.971	 0.056	072.29439	+13.81135
081.3001200	+16.5164500	   3391170490315215104	Hyades  	081.30012	+16.51645	15.415	19.185	 0.041	081.30012	+16.51645
059.5595600	+21.0509900	     51497418090942720	Hyades  	059.55956	+21.05099	15.830	21.518	 0.086	059.55956	+21.05099
058.0872500	+20.4779600	     51534045572176896	Hyades  	058.08725	+20.47796	16.501	23.812	 0.026	058.08725	+20.47796
065.9983100	+11.3830000	   3306849703791332864	Hyades  	065.99831	+11.38300	13.940	17.196	 0.014	065.99831	+11.38300
066.9424600	+11.7363700	   3306922958753764992	Hyades  	066.94246	+11.73637	 7.357	22.031	 0.011	066.94246	+11.73637
065.3328300	+12.0438600	   3307131900322333312	Hyades  	065.33283	+12.04386	14.701	21.081	 0.042	065.33283	+12.04386
068.4377800	+12.7111500	   3306722607119077120	Hyades  	068.43778	+12.71115	14.262	21.128	 0.023	068.43778	+12.71115
065.6075500	+11.3056700	   3306856541379219456	Hyades  	065.60755	+11.30567	 9.353	23.886	 0.066	065.60755	+11.30567
061.8526600	+10.7405800	   3303530209469039616	Hyades  	061.85266	+10.74058	16.240	21.272	 0.042	061.85266	+10.74058
063.2086500	+11.2461900	   3303984513928122752	Hyades  	063.20865	+11.24619	15.497	24.910	 0.046	063.20865	+11.24619
075.7798700	+19.0178300	   3407518510233429248	Hyades  	075.77987	+19.01783	11.212	18.738	 0.008	075.77987	+19.01783
068.4696200	+14.8507700	   3309420014084185600	Hyades  	068.46962	+14.85077	15.225	21.892	 0.062	068.46962	+14.85077
071.5221000	+15.8898800	   3405865089559635968	Hyades  	071.52210	+15.88988	15.115	18.156	 0.046	071.52210	+15.88988
068.5225500	+14.2174800	   3309336867813205760	Hyades  	068.52255	+14.21748	11.633	18.227	 0.012	068.52255	+14.21748
068.5880000	+14.8547000	   3309513270709857920	Hyades  	068.58800	+14.85470	16.065	16.065	 0.173	068.58800	+14.85470
068.4626200	+14.8443200	   3309419984020071552	Hyades  	068.46262	+14.84432	 4.545	21.692	 0.219	068.46262	+14.84432
070.4385900	+14.8994100	   3309611539560293632	Hyades  	070.43859	+14.89941	19.564	22.079	 0.132	070.43859	+14.89941
058.1438400	+11.2607500	     36629890579758592	Hyades  	058.14384	+11.26075	12.626	28.593	 0.012	058.14384	+11.26075
050.6327000	+28.9745500	    119219294181874048	Hyades  	050.63270	+28.97455	13.858	20.868	 0.015	050.63270	+28.97455
072.4920200	+27.2099100	    154422804645274368	Hyades  	072.49202	+27.20991	14.126	24.183	 0.024	072.49202	+27.20991
069.3110800	+11.3240700	   3306247446297683072	Hyades  	069.31108	+11.32407	14.675	19.324	 0.029	069.31108	+11.32407
067.8161700	+10.7042400	   3305860933600191872	Hyades  	067.81617	+10.70424	13.631	21.596	 0.069	067.81617	+10.70424
067.7386700	+10.7517200	   3305871825637254912	Hyades  	067.73867	+10.75172	 6.905	21.488	 0.029	067.73867	+10.75172
067.8154800	+10.7033300	   3305860933598991104	Hyades  	067.81548	+10.70333	17.622	21.444	 0.120	067.81548	+10.70333
067.8320200	+10.9237400	   3305881652522411520	Hyades  	067.83202	+10.92374	14.884	23.154	 0.054	067.83202	+10.92374
066.1838500	+10.7720000	   3306016372760404992	Hyades  	066.18385	+10.77200	12.990	20.435	 0.028	066.18385	+10.77200
065.4717500	+24.2402900	    149476479789791488	Hyades  	065.47175	+24.24029	13.665	20.464	 0.070	065.47175	+24.24029
065.8771100	+24.4052200	    149313099234711680	Hyades  	065.87711	+24.40522	 7.050	18.182	 0.002	065.87711	+24.40522
065.2531600	+24.5186100	    149543000243089024	Hyades  	065.25316	+24.51861	13.586	20.321	 0.017	065.25316	+24.51861
066.7635700	+24.1041700	    149327461604162688	Hyades  	066.76357	+24.10417	14.621	21.204	 0.034	066.76357	+24.10417
070.3702900	+12.0092800	   3295883999449691264	Hyades  	070.37029	+12.00928	12.023	21.185	 0.011	070.37029	+12.00928
070.5193100	+11.9204200	   3295878703753707136	Hyades  	070.51931	+11.92042	12.467	19.020	 0.024	070.51931	+11.92042
071.7207700	+12.8837700	   3296045077903829888	Hyades  	071.72077	+12.88377	13.831	20.635	 0.028	071.72077	+12.88377
070.8535800	+24.2964500	    147232651433766528	Hyades  	070.85358	+24.29645	12.921	20.514	 0.033	070.85358	+24.29645
071.6880800	+24.6109100	    147258180719392512	Hyades  	071.68808	+24.61091	16.848	23.857	 0.040	071.68808	+24.61091
071.7876800	+20.8821000	   3412605297699792512	Hyades  	071.78768	+20.88210	 9.477	23.640	 0.032	071.78768	+20.88210
062.4330700	+31.9299100	    169163647804297216	Hyades  	062.43307	+31.92991	17.395	23.622	 0.036	062.43307	+31.92991
070.6266600	+20.4530100	   3411031385460853248	Hyades  	070.62666	+20.45301	12.155	20.410	 0.031	070.62666	+20.45301
070.7440700	+20.6046700	   3411128795318922496	Hyades  	070.74407	+20.60467	13.791	19.412	 0.056	070.74407	+20.60467
079.0662800	+09.4465800	   3338650225766660992	Hyades  	079.06628	+09.44658	14.274	18.570	 0.029	079.06628	+09.44658
068.0205200	+05.4100700	   3285426613077584384	Hyades  	068.02052	+05.41007	 6.251	23.072	 0.034	068.02052	+05.41007
071.9825000	+25.5795300	    147469115153030528	Hyades  	071.98250	+25.57953	13.517	19.630	 0.007	071.98250	+25.57953
069.2263000	+24.4987300	    147710938992084096	Hyades  	069.22630	+24.49873	15.709	17.467	 0.057	069.22630	+24.49873
065.0545500	+19.2333300	     48203487411427456	Hyades  	065.05455	+19.23333	 7.312	21.664	 0.037	065.05455	+19.23333
065.4571400	+19.4855600	     48190739948429184	Hyades  	065.45714	+19.48556	16.667	25.809	 0.219	065.45714	+19.48556
067.1555400	+19.7405300	     48061409893621248	Hyades  	067.15554	+19.74053	 8.430	20.665	 0.040	067.15554	+19.74053
062.6770600	+18.4231200	     46975436002187136	Hyades  	062.67706	+18.42312	 6.487	21.264	 0.044	062.67706	+18.42312
065.2201400	+13.8643700	   3310615565476268032	Hyades  	065.22014	+13.86437	 6.033	20.965	 0.092	065.22014	+13.86437
065.8497300	+14.4278500	   3311038666998173184	Hyades  	065.84973	+14.42785	13.577	20.320	 0.119	065.84973	+14.42785
066.9464300	+14.4176700	   3310903740601986432	Hyades  	066.94643	+14.41767	 9.212	20.251	 0.004	066.94643	+14.41767
064.8345000	+14.3163500	   3310702770492165120	Hyades  	064.83450	+14.31635	11.991	20.738	 0.015	064.83450	+14.31635
066.1318600	+13.9285500	   3310814886318365568	Hyades  	066.13186	+13.92855	15.115	22.041	 0.032	066.13186	+13.92855
065.9772300	+14.0520200	   3310820624394671488	Hyades  	065.97723	+14.05202	10.362	23.106	 0.029	065.97723	+14.05202
065.5151600	+14.0771100	   3311000119668435200	Hyades  	065.51516	+14.07711	 5.630	21.945	 0.063	065.51516	+14.07711
064.4492100	+13.6617100	   3310640648085373824	Hyades  	064.44921	+13.66171	11.770	21.052	 0.036	064.44921	+13.66171
064.6965000	+13.3662300	   3310569798304869888	Hyades  	064.69650	+13.36623	11.270	21.730	 0.034	064.69650	+13.36623
065.3954400	+14.4097100	   3311024789960504576	Hyades  	065.39544	+14.40971	 6.482	20.466	 0.030	065.39544	+14.40971
064.9909500	+14.0351200	   3310634944368705664	Hyades  	064.99095	+14.03512	 5.497	22.009	 0.013	064.99095	+14.03512
066.8508700	+14.1185700	   3310857011357831936	Hyades  	066.85087	+14.11857	14.492	22.341	 0.069	066.85087	+14.11857
065.3966800	+14.6951600	   3311102820926310784	Hyades  	065.39668	+14.69516	14.314	20.333	 0.026	065.39668	+14.69516
072.1462200	+18.7289100	   3409827214070099840	Hyades  	072.14622	+18.72891	14.742	20.540	 0.026	072.14622	+18.72891
071.5639300	+18.7746300	   3409867964719693824	Hyades  	071.56393	+18.77463	14.276	22.998	 0.153	071.56393	+18.77463
072.6791400	+19.3040500	   3409968703177094656	Hyades  	072.67914	+19.30405	15.481	20.859	 0.055	072.67914	+19.30405
071.5406300	+18.9576100	   3409875592581586944	Hyades  	071.54063	+18.95761	17.696	20.395	 0.088	071.54063	+18.95761
071.9869600	+19.0245600	   3409855590918757760	Hyades  	071.98696	+19.02456	13.188	18.349	 0.081	071.98696	+19.02456
072.3683300	+19.2772200	   3409959567782077184	Hyades  	072.36833	+19.27722	15.094	20.061	 0.021	072.36833	+19.27722
071.9863400	+19.0237600	   3409855590918086400	Hyades  	071.98634	+19.02376	12.553	18.511	 0.057	071.98634	+19.02376
062.8351500	+05.5230800	   3284773915487855488	Hyades  	062.83515	+05.52308	 5.607	26.664	 0.059	062.83515	+05.52308
075.2040100	+04.7331500	   3239389683266590208	Hyades  	075.20401	+04.73315	 9.446	19.219	 0.028	075.20401	+04.73315
075.5563800	+14.7101200	   3392546632197477248	Hyades  	075.55638	+14.71012	18.931	20.809	 0.225	075.55638	+14.71012
074.0961000	+14.1010200	   3392628893706422272	Hyades  	074.09610	+14.10102	16.460	16.717	 0.026	074.09610	+14.10102
074.4911400	+14.4519000	   3392664627834274688	Hyades  	074.49114	+14.45190	14.398	20.726	 0.024	074.49114	+14.45190
073.9547700	+24.3624900	   3419656057748048512	Hyades  	073.95477	+24.36249	13.760	19.387	 0.018	073.95477	+24.36249
072.2650800	+18.6410800	   3406823245223942528	Hyades  	072.26508	+18.64108	 8.747	21.848	 0.027	072.26508	+18.64108
073.0984100	+18.9967600	   3406943091991364608	Hyades  	073.09841	+18.99676	 9.932	19.673	 0.002	073.09841	+18.99676
069.0223700	+15.6839000	   3309956850635519488	Hyades  	069.02237	+15.68390	 9.134	19.953	 0.036	069.02237	+15.68390
069.6159500	+16.0029100	   3309978501567767808	Hyades  	069.61595	+16.00291	17.050	21.058	 0.102	069.61595	+16.00291
069.7441200	+15.6613500	   3309918646903563264	Hyades  	069.74412	+15.66135	16.751	20.820	 0.064	069.74412	+15.66135
069.5444200	+15.8213900	   3309974344039455488	Hyades  	069.54442	+15.82139	14.415	21.018	 0.028	069.54442	+15.82139
068.9525600	+13.2879700	   3308269757418376576	Hyades  	068.95256	+13.28797	13.636	20.306	 0.024	068.95256	+13.28797
070.3740800	+13.2211300	   3308127405023027328	Hyades  	070.37408	+13.22113	10.489	22.633	 0.019	070.37408	+13.22113
070.0999100	+13.9793200	   3308403897837092992	Hyades  	070.09991	+13.97932	14.932	21.708	 0.030	070.09991	+13.97932
071.7910800	+24.0198200	    146989143968434688	Hyades  	071.79108	+24.01982	11.506	21.674	 0.025	071.79108	+24.01982
054.3897100	+17.8539100	     56447041481918720	Hyades  	054.38971	+17.85391	11.696	25.773	 0.036	054.38971	+17.85391
054.3920300	+17.8500000	     56447037184877824	Hyades  	054.39203	+17.85000	12.093	25.635	 0.007	054.39203	+17.85000
064.7329600	+09.3963100	   3299441950357981696	Hyades  	064.73296	+09.39631	14.753	22.170	 0.044	064.73296	+09.39631
063.6436100	+10.7013600	   3300934223858467072	Hyades  	063.64361	+10.70136	 6.966	22.289	 0.031	063.64361	+10.70136
059.8131900	+16.6643100	     46458115782368384	Hyades  	059.81319	+16.66431	14.344	23.870	 0.023	059.81319	+16.66431
058.0005300	+34.1241700	    218783542413339648	Hyades  	058.00053	+34.12417	15.202	23.570	 0.015	058.00053	+34.12417
065.9295000	+15.8808100	   3313541056680391296	Hyades  	065.92950	+15.88081	13.575	22.356	 0.012	065.92950	+15.88081
066.7771600	+16.4301000	   3313665885609887744	Hyades  	066.77716	+16.43010	16.562	21.720	 0.055	066.77716	+16.43010
066.7778800	+16.4295800	   3313665885609887616	Hyades  	066.77788	+16.42958	16.634	21.962	 0.029	066.77788	+16.42958
066.6676600	+16.7467800	   3313689422030650496	Hyades  	066.66766	+16.74678	 7.941	21.744	 0.057	066.66766	+16.74678
067.1646700	+16.9699100	   3313714023603261568	Hyades  	067.16467	+16.96991	14.075	20.895	 0.015	067.16467	+16.96991
066.0536700	+16.3788400	   3313630082762446208	Hyades  	066.05367	+16.37884	 8.068	17.317	 0.028	066.05367	+16.37884
065.9825900	+16.3540800	   3313606340183243136	Hyades  	065.98259	+16.35408	14.347	22.244	 0.018	065.98259	+16.35408
066.3193500	+16.3022400	   3313579505227558528	Hyades  	066.31935	+16.30224	15.028	21.166	 0.032	066.31935	+16.30224
066.1185300	+16.8860600	   3313662896312488192	Hyades  	066.11853	+16.88606	 7.656	21.705	 0.050	066.11853	+16.88606
065.9968900	+16.7214700	   3313653894061044224	Hyades  	065.99689	+16.72147	11.728	21.684	 0.046	065.99689	+16.72147
054.7835700	+28.3820700	     71487329756936320	Hyades  	054.78357	+28.38207	10.352	18.292	 0.020	054.78357	+28.38207
061.6448000	+13.5490500	   3305524242524308352	Hyades  	061.64480	+13.54905	12.441	19.765	 0.130	061.64480	+13.54905
054.5305400	+06.5738600	   3277579398589199616	Hyades  	054.53054	+06.57386	15.320	27.061	 0.069	054.53054	+06.57386
072.4675000	+06.1093600	   3288018093264886016	Hyades  	072.46750	+06.10936	13.425	22.916	 0.033	072.46750	+06.10936
060.4151700	+28.3167200	    163804078373452288	Hyades  	060.41517	+28.31672	17.362	20.074	 0.060	060.41517	+28.31672
074.4565800	+14.0021100	   3392446821452424192	Hyades  	074.45658	+14.00211	 8.700	18.319	 0.013	074.45658	+14.00211
074.3651300	+13.9451400	   3392423078873226112	Hyades  	074.36513	+13.94514	15.016	18.266	 0.017	074.36513	+13.94514
077.0645500	+15.3772200	   3392323607430380416	Hyades  	077.06455	+15.37722	15.261	20.074	 0.063	077.06455	+15.37722
074.0530900	+13.9843200	   3392438678194466560	Hyades  	074.05309	+13.98432	13.566	16.477	 0.168	074.05309	+13.98432
074.2531200	+13.9122700	   3392422013721349632	Hyades  	074.25312	+13.91227	10.487	17.709	 0.005	074.25312	+13.91227
076.7921800	+13.2697100	   3391410909700425600	Hyades  	076.79218	+13.26971	14.930	19.648	 0.039	076.79218	+13.26971
069.6318800	+17.0405600	   3313207698500079360	Hyades  	069.63188	+17.04056	13.642	22.822	 0.032	069.63188	+17.04056
069.3844600	+16.7585700	   3313173957237081984	Hyades  	069.38446	+16.75857	14.529	21.058	 0.075	069.38446	+16.75857
068.4867900	+16.8689400	   3313285110990793472	Hyades  	068.48679	+16.86894	13.767	21.397	 0.015	068.48679	+16.86894
069.0007500	+16.5406700	   3313070293905997824	Hyades  	069.00075	+16.54067	10.292	20.003	 0.278	069.00075	+16.54067
068.4086400	+16.7623900	   3313259169388356608	Hyades  	068.40864	+16.76239	 9.153	20.572	 0.029	068.40864	+16.76239
076.8960100	+14.6538200	   3392122637320609536	Hyades  	076.89601	+14.65382	13.537	18.849	 0.103	076.89601	+14.65382
081.3627500	+21.0686500	   3402351561497574016	Hyades  	081.36275	+21.06865	12.087	18.216	 0.018	081.36275	+21.06865
079.4234100	+17.4523600	   3394444084324433792	Hyades  	079.42341	+17.45236	13.552	18.272	 0.019	079.42341	+17.45236
062.8657200	+15.9920700	     45293526808851200	Hyades  	062.86572	+15.99207	13.798	21.085	 0.060	062.86572	+15.99207
061.9255000	+15.1626900	     45142206521351552	Hyades  	061.92550	+15.16269	 5.971	22.726	 0.032	061.92550	+15.16269
062.4903800	+15.4168900	     45198178534988672	Hyades  	062.49038	+15.41689	14.608	21.323	 0.020	062.49038	+15.41689
072.7026400	+16.2103400	   3405220088550711808	Hyades  	072.70264	+16.21034	 7.152	19.850	 0.032	072.70264	+16.21034
074.6593600	+16.2222700	   3405338148611960448	Hyades  	074.65936	+16.22227	15.321	20.124	 0.084	074.65936	+16.22227
080.1655300	+10.5696400	   3338847893045082880	Hyades  	080.16553	+10.56964	15.952	18.330	 0.074	080.16553	+10.56964
069.7284300	+19.1820700	   3410505784542875008	Hyades  	069.72843	+19.18207	12.913	20.017	 0.035	069.72843	+19.18207
069.1287200	+19.0908900	   3410466133406341504	Hyades  	069.12872	+19.09089	14.411	15.653	 0.225	069.12872	+19.09089
069.1627600	+18.6155900	   3410390468964390400	Hyades  	069.16276	+18.61559	12.315	23.707	 0.030	069.16276	+18.61559
070.0534100	+19.2859200	   3410529355323453312	Hyades  	070.05341	+19.28592	12.564	22.207	 0.019	070.05341	+19.28592
068.4251500	+19.0138900	   3410453484725565312	Hyades  	068.42515	+19.01389	10.269	20.904	 0.034	068.42515	+19.01389
068.4289100	+18.7662600	   3410439745127430016	Hyades  	068.42891	+18.76626	13.984	24.143	 0.027	068.42891	+18.76626
067.4128600	+22.8825700	    145916050683920128	Hyades  	067.41286	+22.88257	10.855	16.856	 0.023	067.41286	+22.88257
067.6595800	+22.9078200	    145919658456448128	Hyades  	067.65958	+22.90782	11.918	19.524	 0.099	067.65958	+22.90782
067.5025900	+22.3748500	    145830533592284288	Hyades  	067.50259	+22.37485	16.168	24.661	 0.072	067.50259	+22.37485
066.3262700	+23.0606300	    145784835140102016	Hyades  	066.32627	+23.06063	12.971	20.548	 0.037	066.32627	+23.06063
068.6345000	+15.8274700	   3312602348628348032	Hyades  	068.63450	+15.82747	 9.407	19.132	 0.037	068.63450	+15.82747
067.8186500	+15.0032300	   3312440445540818304	Hyades  	067.81865	+15.00323	16.117	21.128	 0.062	067.81865	+15.00323
067.6780300	+14.6614300	   3312406429399957760	Hyades  	067.67803	+14.66143	15.223	24.545	 0.051	067.67803	+14.66143
068.2481600	+15.8188600	   3312644885984344704	Hyades  	068.24816	+15.81886	 8.469	21.277	 0.012	068.24816	+15.81886
