#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-12-05T07:43:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5c0781329338
#INFO	-out.max=200
#INFO	queryParameters=37
#-oc.form=dec
#-out.max=200
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/145/134&tab:{J/AJ/145/134/table3}&key:source=J/AJ/145/134&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/134/table3
#-order=I
#-out=Star
#-out=2MASS
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=g'mag
#-out=g'-i'
#-out=Jmag
#-out=f_Jmag
#-out=J-K
#-out=RV1
#-out=RV2
#-out=Mm
#-out=Mpm
#-out=Mv1
#-out=Mv2
#-out=Mjk
#-out=Mgi
#-out=u_Type
#-out=Type
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51450134
#Name: J/AJ/145/134
#Title: Radial velocities of 108 stars in Ruprecht 147 (Curtis+, 2013)
#Table	J_AJ_145_134_table3:
#Name: J/AJ/145/134/table3
#Title: Radial velocities, proper motions and membership in Ruprecht 147
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Star	(I3)	[1/108] Running star number (1)	[ucd=meta.id;meta.main]
#Column	2MASS	(A16)	2MASS identifier (HHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F4.1)	Proper motion in Right Ascension (2)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F4.1)	1-{sigma} uncertainty in pmRA (2)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F5.1)	Proper motion in Declination (2)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F4.1)	1-{sigma} uncertainty in pmDE (2)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	g'mag	(F5.2)	? CFHT/MegaCam g' magnitude	[ucd=phot.mag;em.opt.B]
#Column	g'-i'	(F5.2)	? CFHT/MegaCam (g'-i') color index	[ucd=phot.color]
#Column	Jmag	(F5.2)	2MASS J magnitude (from cat. II/246) (3)	[ucd=phot.mag;em.IR.J]
#Column	f_Jmag	(A1)	[e] Probable binary (star #51) (4)	[ucd=meta.code]
#Column	J-K	(F5.2)	2MASS (J-Ks) color index (from cat. II/246) (3)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	RV1	(F4.1)	? Lick/Palomar radial velocity	[ucd=spect.dopplerVeloc]
#Column	RV2	(F4.1)	? Hectochelle radial velocity	[ucd=spect.dopplerVeloc]
#Column	Mm	(A1)	[NPY] Overall membership probability (5)	[ucd=meta.code.member]
#Column	Mpm	(A1)	[NPY] Membership probability assigned to proper motion radial distance from cluster value (5)	[ucd=meta.code.member]
#Column	Mv1	(A1)	[NPY] Membership probability assigned to Lick/Palomar radial velocities (5)	[ucd=meta.code.member]
#Column	Mv2	(A1)	[NPY] Membership probability assigned to Hectochelle radial velocities (5)	[ucd=meta.code.member]
#Column	Mjk	(A1)	[NPYB] Membership probability assigned to 2MASS (J-Ks) color-magnitude diagram (5)	[ucd=meta.code.member]
#Column	Mgi	(A1)	[NPYB] Membership probability assigned to CFHT/MegaCam (g'-i') color-magnitude diagram (5)	[ucd=meta.code.member]
#Column	u_Type	(A1)	[?] Uncertainty flag on Type (?)	[ucd=meta.note]
#Column	Type	(a7)	Star classification (6)	[ucd=meta.code.class]
#Column	M	(A1)	Display what exists in VizieR at this position (within 1.5)	[ucd=meta.code.member]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from 2MASS name (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from 2MASS name (declination part)	[ucd=pos.eq.dec;meta.main]
deg	deg	 	 	mas/yr	mas/yr	mas/yr	mas/yr	mag	mag	mag	 	mag	km/s	km/s	 	 	 	 	 	 	 	 	 	 	deg	deg
288.5539167	-15.9080833	 84	19141294-1554291	-1.8	 3.1	-26.6	 2.9	12.41	 0.76	10.61	 	 0.44	46.7	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	288.55392	-15.90808
289.2475000	-16.5908611	 85	19165940-1635271	-2.8	 3.1	-27.7	 3.1	12.82	 0.64	11.23	 	 0.44	42.6	42.9	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.24750	-16.59086
289.0245417	-16.4966944	 86	19160589-1629481	-0.3	 2.9	-28.7	 2.9	12.94	 0.85	10.98	 	 0.49	44.7	41.6	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.02454	-16.49669
289.0327083	-16.1766667	 87	19160785-1610360	-4.5	 2.9	-26.8	 3.0	12.83	 0.84	10.91	 	 0.49	45.0	42.4	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.03271	-16.17667
289.1032083	-17.1770833	 88	19162477-1710375	-4.3	 3.7	-42.8	 3.7	13.02	 0.72	11.28	 	 0.43	47.0	    	P	P	Y	 	Y	Y	 	       	M	Simbad	289.10321	-17.17708
289.3917500	-16.8715833	 89	19173402-1652177	-1.6	 2.5	-31.9	 2.5	12.72	 0.58	11.07	 	 0.41	47.3	    	P	Y	P	 	Y	Y	 	       	M	Simbad	289.39175	-16.87158
289.1530000	-17.2194722	 90	19163672-1713101	-0.1	 2.9	-31.8	 2.9	12.44	 0.55	10.95	 	 0.32	42.0	    	Y	Y	Y	 	Y	Y	 	       	M	Simbad	289.15300	-17.21947
289.1968750	-16.0692500	 91	19164725-1604093	-2.2	 3.1	-29.5	 3.0	12.75	 0.61	11.13	 	 0.36	42.8	42.2	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.19687	-16.06925
289.1840417	-16.2061667	 92	19164417-1612222	-1.5	 3.6	-29.0	 3.6	12.63	 0.74	10.89	 	 0.45	45.1	25.2	P	Y	Y	N	Y	Y	 	SB1    	M	Simbad	289.18404	-16.20617
289.0917917	-15.7710833	 93	19162203-1546159	 1.5	 2.9	-27.6	 2.9	13.02	 0.76	11.29	 	 0.43	41.8	41.7	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.09179	-15.77108
288.8392083	-16.0029722	 94	19152141-1600107	-2.6	 3.2	-27.1	 3.2	13.26	 0.77	11.43	 	 0.38	43.5	42.8	Y	Y	Y	Y	P	Y	 	       	M	Simbad	288.83921	-16.00297
289.2553333	-16.1617500	 95	19170128-1609423	-1.5	 2.9	-30.1	 2.9	12.78	 0.79	10.90	 	 0.48	40.6	39.1	P	Y	Y	P	Y	Y	 	       	M	Simbad	289.25533	-16.16175
288.7981667	-17.4418889	 96	19151156-1726308	-0.5	 2.1	-27.0	 2.1	     	     	10.73	 	 0.35	40.8	    	Y	Y	Y	 	Y	 	 	       	M	Simbad	288.79817	-17.44189
289.2618750	-16.0879444	 97	19170285-1605166	-1.7	 3.6	-27.9	 3.6	13.03	 0.70	11.38	 	 0.43	40.9	41.1	Y	Y	Y	Y	Y	Y	 	       	M	Simbad	289.26187	-16.08794
289.1106667	-16.2484722	 98	19162656-1614545	 0.4	 2.9	-29.5	 2.9	13.52	 0.97	11.38	 	 0.63	43.2	40.7	Y	Y	Y	Y	P	Y	 	       	M	Simbad	289.11067	-16.24847
289.0732083	-16.0049167	 99	19161757-1600177	-2.4	 3.0	-29.4	 3.0	13.66	 0.89	11.52	 	 0.58	44.8	44.6	P	Y	Y	N	Y	Y	 	       	M	Simbad	289.07321	-16.00492
288.7166250	-15.6938611	100	19145199-1541379	 0.2	 3.7	 -3.7	 3.7	14.20	 1.22	11.67	 	 0.79	42.2	    	N	N	Y	 	P	Y	 	       	M	Simbad	288.71662	-15.69386
288.8897500	-16.4268889	101	19153354-1625368	-9.0	 3.7	-31.6	 3.7	15.43	 1.43	12.52	 	 0.78	46.3	40.5	Y	P	Y	Y	Y	Y	 	       	M	Simbad	288.88975	-16.42689
288.2065833	-15.8427778	102	19124958-1550340	 3.4	 3.8	-34.1	 3.8	     	     	11.85	 	 0.55	44.3	    	P	P	Y	 	Y	 	 	       	M	Simbad	288.20658	-15.84278
288.4380000	-16.3261111	103	19134512-1619340	19.9	 4.9	-11.1	 4.9	14.27	 1.15	11.92	 	 0.68	45.0	    	N	N	Y	 	Y	Y	 	       	M	Simbad	288.43800	-16.32611
289.9074583	-16.3086667	104	19193779-1618312	11.4	 4.8	-15.8	 4.8	     	     	11.78	 	 0.65	52.4	    	N	N	N	 	Y	 	 	       	M	Simbad	289.90746	-16.30867
289.5563333	-16.2471111	105	19181352-1614496	 5.8	 3.7	-58.2	 3.7	14.39	 1.16	11.87	 	 0.68	50.5	    	N	N	N	 	Y	Y	 	       	M	Simbad	289.55633	-16.24711
289.1533333	-16.3842222	106	19163680-1623032	-3.0	 3.7	-31.9	 3.7	15.05	 1.53	12.06	 	 0.76	49.3	46.5	P	Y	P	N	Y	Y	 	       	M	Simbad	289.15333	-16.38422
289.1555000	-16.0013889	107	19163732-1600050	-2.9	 3.7	-34.8	 3.7	14.70	 1.26	12.02	 	 0.66	42.5	42.1	Y	P	Y	Y	Y	Y	 	       	M	Simbad	289.15550	-16.00139
289.3725000	-16.1993611	108	19172940-1611577	 9.1	 3.7	-32.3	 3.7	15.21	 1.35	12.47	 	 0.71	48.6	42.8	P	N	P	Y	Y	Y	 	       	M	Simbad	289.37250	-16.19936

